Index,Arrival Time,Job Size,End Time,Start Job,Response Time,Turnaround Time,Job State,Context Switches
0,95,251,696,695,0,601,2,5
1,201,225,1369,1344,44,1168,2,4
2,267,251,2681,2680,78,2414,2,5
3,380,253,3934,3931,115,3554,2,5
4,452,254,4685,4681,193,4233,2,5
5,526,250,3581,3531,170,3055,2,4
6,617,247,4231,4184,229,3614,2,4
7,711,254,7971,7967,285,7260,2,5
8,773,248,5683,5635,323,4910,2,4
9,873,48,1294,1246,373,421,2,0
10,923,0,1344,1344,421,421,2,0
11,983,263,10586,10573,386,9603,2,5
12,1017,260,11526,11516,452,10509,2,5
13,1071,44,1613,1569,498,542,2,0
14,1121,29,1692,1663,542,571,2,0
15,1191,43,1785,1742,551,594,2,0
16,1315,45,1930,1885,570,615,2,0
17,1373,245,10271,10226,607,8898,2,4
18,1455,260,17106,17096,625,15651,2,5
19,1524,264,18688,18674,706,17164,2,5
20,1585,248,12581,12533,745,10996,2,4
21,1686,251,20725,20724,744,19039,2,5
22,1743,255,21813,21808,787,20070,2,5
23,1812,256,22519,22513,768,20707,2,5
24,1886,268,23462,23444,795,21576,2,5
25,1951,242,15429,15387,780,13478,2,4
26,2031,209,16248,16239,850,14217,2,4
27,2103,251,25977,25976,878,23874,2,5
28,2190,251,27325,27324,941,25135,2,5
29,2261,259,28367,28358,970,26106,2,5
30,2321,269,29628,29609,1010,27307,2,5
31,2402,249,20137,20088,1079,17735,2,4
32,2489,266,32684,32668,1142,30195,2,5
33,2545,227,21458,21431,1186,18913,2,4
34,2630,252,34546,34544,1201,31916,2,5
35,2687,225,23144,23119,1247,20457,2,4
36,2753,240,23802,23762,1281,21049,2,4
37,2818,53,6336,6333,1316,3518,2,1
38,2877,237,24536,24499,1354,21659,2,4
39,2934,254,39621,39617,1447,36687,2,5
40,3018,240,25926,25886,1463,22908,2,4
41,3067,230,26557,26527,1514,23490,2,4
42,3149,217,26924,26907,1536,23775,2,4
43,3221,265,42687,42672,1564,39466,2,5
44,3307,270,44298,44278,1628,40991,2,5
45,3380,285,45434,45399,1655,42054,2,5
46,3417,251,46332,46331,1718,42915,2,5
47,3490,243,30771,30728,1795,27281,2,4
48,3547,237,31480,31443,1838,27933,2,4
49,3610,226,31892,31866,1825,28282,2,4
50,3676,228,32370,32342,1859,28694,2,4
51,3741,55,8726,8721,1942,4985,2,1
52,3792,252,51963,51961,1991,48171,2,5
53,3876,254,52913,52909,2007,49037,2,5
54,3967,262,54779,54767,2066,50812,2,5
55,4016,233,36326,36293,2117,32310,2,4
56,4100,0,6283,6283,2183,2183,2,0
57,4186,245,37616,37571,2150,33430,2,4
58,4251,250,37716,37666,2135,33465,2,4
59,4310,246,38509,38463,2176,34199,2,4
60,4377,274,60188,60164,2209,55811,2,5
61,4459,52,10523,10521,2277,6064,2,1
62,4556,0,6886,6886,2330,2330,2,0
63,4614,251,62644,62643,2322,58030,2,5
64,4695,247,41858,41811,2391,37163,2,4
65,4760,253,64588,64585,2426,59828,2,5
66,4855,264,65837,65823,2481,60982,2,5
67,4926,247,43734,43687,2510,38808,2,4
68,4994,252,68683,68681,2592,63689,2,5
69,5056,254,69116,69112,2630,64060,2,5
70,5127,31,7817,7786,2659,2690,2,0
71,5187,265,71655,71640,2730,66468,2,5
72,5272,57,12433,12426,2699,7161,2,1
73,5339,225,48233,48208,2782,42894,2,4
74,5437,265,74897,74882,2834,69460,2,5
75,5506,233,49633,49600,2865,44127,2,4
76,5549,63,13281,13268,2922,7732,2,1
77,5638,56,13537,13531,2983,7899,2,1
78,5700,263,77770,77757,2971,72070,2,5
79,5754,259,78628,78619,2972,72874,2,5
80,5830,251,79129,79128,2996,73299,2,5
81,5893,255,80243,80238,3083,74350,2,5
82,5962,258,81320,81312,3114,75358,2,5
83,5994,258,82427,82419,3182,76433,2,5
84,6043,247,54463,54416,3233,48420,2,4
85,6113,277,84597,84570,3263,78484,2,5
86,6175,53,14937,14934,3301,8762,2,1
87,6243,256,86567,86561,3383,80324,2,5
88,6271,243,57003,56960,3405,50732,2,4
89,6340,60,15489,15479,3486,9149,2,1
90,6441,264,89467,89453,3535,83026,2,5
91,6512,256,90689,90683,3564,84177,2,5
92,6575,252,91671,91669,3601,85096,2,5
93,6645,244,60432,60388,3676,53787,2,4
94,6724,236,60968,60932,3697,54244,2,4
95,6792,213,61370,61357,3731,54578,2,4
96,6853,234,61750,61716,3733,54897,2,4
97,6938,239,62393,62354,3798,55455,2,4
98,7014,241,63135,63094,3822,56121,2,4
99,7110,256,97959,97953,3876,90849,2,5
100,7209,30,11166,11136,3927,3957,2,0
101,7279,253,99503,99500,3937,92224,2,5
102,7335,253,99886,99883,3981,92551,2,5
103,7395,265,100940,100925,4071,93545,2,5
104,7452,259,101769,101760,4074,94317,2,5
105,7532,68,18224,18206,4094,10692,2,1
106,7574,267,103045,103028,4152,95471,2,5
107,7633,251,104299,104298,4193,96666,2,5
108,7735,269,105148,105129,4241,97413,2,5
109,7812,275,106799,106774,4314,98987,2,5
110,7872,262,107661,107649,4354,99789,2,5
111,7951,264,108706,108692,4375,100755,2,5
112,8028,233,71888,71855,4405,63860,2,4
113,8061,260,110389,110379,4422,102328,2,5
114,8128,231,73300,73269,4503,65172,2,4
115,8215,247,73946,73899,4516,65731,2,4
116,8289,40,12921,12881,4592,4632,2,0
117,8337,238,75385,75347,4634,67048,2,4
118,8387,47,13118,13071,4684,4731,2,0
119,8447,263,116262,116249,4721,107815,2,5
120,8524,55,20780,20775,4757,12256,2,1
121,8587,254,117374,117370,4794,108787,2,5
122,8652,221,77607,77586,4829,68955,2,4
123,8742,249,78069,78020,4845,69327,2,4
124,8798,51,21381,21380,4889,12583,2,1
125,8890,254,121255,121251,4947,112365,2,5
126,8965,255,121734,121729,4972,112769,2,5
127,9052,50,14137,14087,5035,5085,2,0
128,9074,47,14184,14137,5063,5110,2,0
129,9127,244,81564,81520,5157,72437,2,4
130,9213,205,82119,82114,5171,72906,2,4
131,9297,253,126487,126484,5237,117190,2,5
132,9360,221,83738,83717,5274,74378,2,4
133,9417,262,128215,128203,5317,118798,2,5
134,9475,229,84626,84597,5359,75151,2,4
135,9558,239,85415,85376,5379,75857,2,4
136,9622,246,86311,86265,5415,76689,2,4
137,9708,263,132246,132233,5479,122538,2,5
138,9807,259,133178,133169,5530,123371,2,5
139,9865,289,134067,134028,5564,124202,2,5
140,9985,260,135865,135855,5604,125880,2,5
141,10064,272,136365,136343,5625,126301,2,5
142,10120,240,90252,90212,5669,80132,2,4
143,10183,243,91232,91189,5756,81049,2,4
144,10287,247,91968,91921,5752,81681,2,4
145,10363,247,92244,92197,5776,81881,2,4
146,10440,223,92799,92776,5808,82359,2,4
147,10526,232,93681,93649,5872,83155,2,4
148,10574,241,94072,94031,5924,83498,2,4
149,10664,0,16598,16598,5934,5934,2,0
150,10697,48,16696,16648,5951,5999,2,0
151,10768,245,94864,94819,5978,84096,2,4
152,10840,250,96114,96064,6056,85274,2,4
153,10931,246,97116,97070,6065,86185,2,4
154,11000,234,97500,97466,6106,86500,2,4
155,11063,264,148700,148686,6143,137637,2,5
156,11140,251,149722,149721,6216,138582,2,5
157,11250,255,150127,150122,6206,138877,2,5
158,11264,248,99150,99102,6242,87886,2,4
159,11351,235,99836,99801,6305,88485,2,4
160,11423,239,100625,100586,6383,89202,2,4
161,11519,226,101310,101284,6437,89791,2,4
162,11605,242,101861,101819,6451,90256,2,4
163,11597,228,102389,102361,6509,90792,2,4
164,11681,239,102878,102839,6543,91197,2,4
165,11777,268,156489,156471,6597,144712,2,5
166,11836,247,104048,104001,6638,92212,2,4
167,11920,259,158272,158263,6654,146352,2,5
168,11998,236,104979,104943,6690,92981,2,4
169,12098,238,105781,105743,6740,93683,2,4
170,12167,252,160991,160989,6771,148824,2,5
171,12239,252,162275,162273,6849,150036,2,5
172,12281,245,108006,107961,6907,95725,2,4
173,12327,265,164113,164098,6961,151786,2,5
174,12404,233,108989,108956,6984,96585,2,4
175,12505,258,166144,166136,7033,153639,2,5
176,12571,259,167538,167529,7067,154967,2,5
177,12641,240,111431,111391,7097,98790,2,4
178,12696,295,169279,169234,7142,156583,2,5
179,12762,73,31144,31121,7176,18382,2,1
180,12829,220,113231,113211,7209,100402,2,4
181,12896,244,113575,113531,7291,100679,2,4
182,12966,243,114018,113975,7271,101052,2,4
183,13007,248,114760,114712,7330,101753,2,4
184,13075,248,115438,115390,7412,102363,2,4
185,13139,229,115665,115636,7398,102526,2,4
186,13191,37,20674,20637,7446,7483,2,0
187,13273,238,116749,116711,7452,103476,2,4
188,13391,234,117270,117236,7439,103879,2,4
189,13466,236,117810,117774,7464,104344,2,4
190,13521,238,118148,118110,7509,104627,2,4
191,13610,257,174831,174824,7570,161221,2,5
192,13675,258,175305,175297,7605,161630,2,5
193,13774,62,33295,33283,7607,19521,2,1
194,13833,258,176165,176157,7625,162332,2,5
195,13959,224,121579,121555,7699,107620,2,4
196,14032,269,177587,177568,7726,163555,2,5
197,14111,233,122824,122791,7752,108713,2,4
198,14211,234,123149,123115,7702,108938,2,4
199,14279,249,123655,123606,7734,109376,2,4
200,14340,249,124352,124303,7823,110012,2,4
201,14414,232,124793,124761,7849,110379,2,4
202,14474,249,125192,125143,7889,110718,2,4
203,14509,242,125984,125942,7954,111475,2,4
204,14585,246,126733,126687,7984,112148,2,4
205,14665,270,181616,181596,8004,166951,2,5
206,14738,287,182356,182319,8081,167618,2,5
207,14797,246,128461,128415,8122,113664,2,4
208,14898,234,129501,129467,8171,114603,2,4
209,14961,227,129922,129895,8183,114961,2,4
210,15015,263,184585,184572,8229,169570,2,5
211,15072,215,131137,131122,8272,116065,2,4
212,15167,242,131879,131837,8295,116712,2,4
213,15246,248,132644,132596,8366,117398,2,4
214,15302,229,132872,132843,8410,117570,2,4
215,15392,262,187223,187211,8460,171831,2,5
216,15446,256,187379,187373,8456,171933,2,5
217,15493,225,134532,134507,8509,119039,2,4
218,15538,256,188102,188096,8514,172564,2,5
219,15599,266,188818,188802,8603,173219,2,5
220,15651,47,24349,24302,8651,8698,2,0
221,15720,241,136193,136152,8679,120473,2,4
222,15817,233,136906,136873,8719,121089,2,4
223,15871,247,137246,137199,8765,121375,2,4
224,15947,231,138370,138339,8839,122423,2,4
225,16015,234,138703,138669,8871,122688,2,4
226,16081,260,192094,192084,8905,176013,2,5
227,16176,55,39139,39134,8960,22963,2,1
228,16262,248,140315,140267,9024,124053,2,4
229,16343,254,193412,193408,9043,177069,2,5
230,16420,276,194081,194055,9116,177661,2,5
231,16501,281,194667,194636,9185,178166,2,5
232,16591,250,143023,142973,9195,126432,2,4
233,16682,240,143450,143410,9244,126768,2,4
234,16800,56,40520,40514,9227,23720,2,1
235,16853,271,196692,196671,9274,179839,2,5
236,16918,274,197129,197105,9309,180211,2,5
237,16983,255,198099,198094,9344,181116,2,5
238,17046,221,146915,146894,9381,129869,2,4
239,17135,256,199480,199474,9422,182345,2,5
240,17193,249,148378,148329,9464,131185,2,4
241,17276,238,149075,149037,9531,131799,2,4
242,17377,51,41909,41908,9547,24532,2,1
243,17479,63,42072,42059,9595,24593,2,1
244,17595,257,201861,201854,9629,184266,2,5
245,17684,44,27369,27325,9641,9685,2,0
246,17759,269,202790,202771,9710,185031,2,5
247,17822,43,27612,27569,9747,9790,2,0
248,17918,234,152822,152788,9794,134904,2,4
249,17974,258,203945,203937,9838,185971,2,5
250,18037,256,204383,204377,9875,186346,2,5
251,18140,273,205342,205319,9922,187202,2,5
252,18214,266,205977,205961,9998,187763,2,5
253,18315,46,28358,28312,9997,10043,2,0
254,18400,273,206800,206777,10017,188400,2,5
255,18458,245,156979,156934,10059,138521,2,4
256,18509,249,157378,157329,10108,138869,2,4
257,18563,42,28759,28717,10154,10196,2,0
258,18647,259,208471,208462,10212,189824,2,5
259,18724,248,158774,158726,10235,140050,2,4
260,18814,266,209187,209171,10295,190373,2,5
261,18864,57,45299,45292,10345,26435,2,1
262,18947,248,160717,160669,10412,141770,2,4
263,19006,253,210780,210777,10453,191774,2,5
264,19071,246,161823,161777,10488,142752,2,4
265,19145,226,162601,162575,10533,143456,2,4
266,19225,277,212603,212576,10553,193378,2,5
267,19317,253,213362,213359,10611,194045,2,5
268,19423,242,164409,164367,10655,144986,2,4
269,19478,258,214360,214352,10700,194882,2,5
270,19533,273,214842,214819,10745,195309,2,5
271,19599,246,166590,166544,10829,146991,2,4
272,19637,259,215745,215736,10841,196108,2,5
273,19716,256,216644,216638,10912,196928,2,5
274,19728,279,216673,216644,10950,196945,2,5
275,19792,256,217310,217304,11029,197518,2,5
276,19858,246,169028,168982,11063,149170,2,4
277,19916,241,169320,169279,11105,149404,2,4
278,20004,228,169748,169720,11140,149744,2,4
279,20040,252,218307,218305,11204,198267,2,5
280,20118,260,218609,218599,11226,198491,2,5
281,20174,49,31443,31394,11220,11269,2,0
282,20257,215,170766,170751,11273,150509,2,4
283,20349,242,171061,171019,11331,150712,2,4
284,20445,36,31866,31830,11385,11421,2,0
285,20495,67,49300,49283,11397,28805,2,1
286,20557,245,171959,171914,11435,151402,2,4
287,20655,247,172456,172409,11487,151801,2,4
288,20732,233,172789,172756,11510,152057,2,4
289,20831,240,173179,173139,11539,152348,2,4
290,20867,50,32470,32420,11553,11603,2,0
291,20976,48,32618,32570,11594,11642,2,0
292,21050,49,32733,32684,11634,11683,2,0
293,21105,240,174288,174248,11678,153183,2,4
294,21227,232,174774,174742,11706,153547,2,4
295,21318,253,222848,222845,11765,201530,2,5
296,21374,254,223202,223198,11809,201828,2,5
297,21473,233,176005,175972,11822,154532,2,4
298,21576,254,224064,224060,11869,202488,2,5
299,21646,250,176765,176715,11899,155119,2,4
300,21729,278,224592,224564,11966,202863,2,5
301,21777,251,224743,224742,12018,202966,2,5
302,21840,242,177879,177837,12055,156039,2,4
303,21945,241,178220,178179,12100,156275,2,4
304,21988,246,178516,178470,12157,156528,2,4
305,22078,225,178791,178766,12217,156713,2,4
306,22150,49,34444,34395,12245,12294,2,0
307,22286,230,179493,179463,12260,157207,2,4
308,22344,271,226787,226766,12302,204443,2,5
309,22416,240,180138,180098,12380,157722,2,4
310,22478,252,227411,227409,12418,204933,2,5
311,22541,253,227764,227761,12455,205223,2,5
312,22613,53,54266,54263,12483,31653,2,1
313,22689,47,35293,35246,12557,12604,2,0
314,22739,244,182010,181966,12604,159271,2,4
315,22812,54,54767,54763,12631,31955,2,1
316,22884,249,182464,182415,12709,159580,2,4
317,22961,254,229190,229186,12732,206229,2,5
318,23009,272,229562,229540,12784,206553,2,5
319,23088,253,229915,229912,12855,206827,2,5
320,23157,258,230273,230265,12886,207116,2,5
321,23266,261,230682,230671,12927,207416,2,5
322,23352,266,231098,231082,12974,207746,2,5
323,23404,265,231620,231605,13022,208216,2,5
324,23470,48,36574,36526,13056,13104,2,0
325,23588,249,185984,185935,13086,162396,2,4
326,23651,247,186288,186241,13123,162637,2,4
327,23729,0,36924,36924,13195,13195,2,0
328,23795,223,186661,186638,13179,162866,2,4
329,23861,267,233112,233095,13213,209251,2,5
330,23920,47,37221,37174,13254,13301,2,0
331,23977,246,187525,187479,13294,163548,2,4
332,24045,221,187796,187775,13326,163751,2,4
333,24127,266,234249,234233,13394,210122,2,5
334,24185,259,234408,234399,13431,210223,2,5
335,24284,251,234797,234796,13482,210513,2,5
336,24344,47,37913,37866,13522,13569,2,0
337,24445,240,189308,189268,13518,164863,2,4
338,24515,245,189753,189708,13598,165238,2,4
339,24613,52,58990,58988,13600,34377,2,1
340,24699,242,190495,190453,13664,165796,2,4
341,24795,238,191033,190995,13714,166238,2,4
342,24874,245,191340,191295,13735,166466,2,4
343,24937,244,191734,191690,13822,166797,2,4
344,24991,50,38909,38859,13868,13918,2,0
345,25086,25,38984,38959,13873,13898,2,0
346,25155,258,237847,237839,13929,212692,2,5
347,25248,46,39235,39189,13941,13987,2,0
348,25315,32,39317,39285,13970,14002,2,0
349,25373,270,238444,238424,13994,213071,2,5
350,25465,243,193706,193663,14052,168241,2,4
351,25542,244,193900,193856,14079,168358,2,4
352,25633,256,239589,239583,14088,213956,2,5
353,25711,50,39921,39871,14160,14210,2,0
354,25768,43,40014,39971,14203,14246,2,0
355,25833,241,195058,195017,14231,169225,2,4
356,25912,240,195298,195258,14302,169386,2,4
357,25947,251,240351,240350,14317,214404,2,5
358,25984,54,62054,62050,14380,36070,2,1
359,26061,250,196048,195998,14403,169987,2,4
360,26087,250,196298,196248,14433,170211,2,4
361,26161,41,40661,40620,14459,14500,2,0
362,26204,257,241586,241579,14507,215382,2,5
363,26293,238,197417,197379,14568,171124,2,4
364,26375,227,197894,197867,14586,171519,2,4
365,26440,240,198389,198349,14671,171949,2,4
366,26504,244,198833,198789,14707,172329,2,4
367,26589,241,199174,199133,14722,172585,2,4
368,26671,248,199878,199830,14790,173207,2,4
369,26746,253,244360,244357,14815,217614,2,5
370,26830,239,200367,200328,14881,173537,2,4
371,26934,224,200641,200617,14924,173707,2,4
372,27023,221,200862,200841,14886,173839,2,4
373,27133,277,245446,245419,14939,218313,2,5
374,27240,241,201754,201713,14982,174514,2,4
375,27331,264,246160,246146,15041,218829,2,5
376,27419,232,202293,202261,15003,174874,2,4
377,27475,228,202621,202593,15097,175146,2,4
378,27576,252,246862,246860,15111,219286,2,5
379,27659,240,203230,203190,15078,175571,2,4
380,27753,243,203637,203594,15134,175884,2,4
381,27846,63,66150,66137,15191,38304,2,1
382,27919,229,204224,204195,15268,176305,2,4
383,27986,262,248344,248332,15301,220358,2,5
384,28078,236,205019,204983,15359,176941,2,4
385,28095,249,205269,205220,15392,177174,2,4
386,28168,255,249288,249283,15469,221120,2,5
387,28271,46,43830,43784,15513,15559,2,0
388,28343,242,206270,206228,15537,177927,2,4
389,28424,247,206477,206430,15556,178053,2,4
390,28444,48,44078,44030,15586,15634,2,0
391,28523,251,250362,250361,15655,221839,2,5
392,28620,261,250673,250662,15678,222053,2,5
393,28669,55,68131,68126,15729,39462,2,1
394,28719,248,207862,207814,15779,179143,2,4
395,28821,259,251265,251256,15777,222444,2,5
396,28910,44,44792,44748,15838,15882,2,0
397,28975,55,68688,68683,15867,39713,2,1
398,29071,57,68878,68871,15921,39807,2,1
399,29177,275,252509,252484,15965,223332,2,5
400,29242,259,252718,252709,16000,223476,2,5
401,29332,247,210084,210037,16017,180752,2,4
402,29383,243,210427,210384,16051,181044,2,4
403,29483,47,45631,45584,16101,16148,2,0
404,29532,62,69828,69816,16149,40296,2,1
405,29592,250,211180,211130,16189,181588,2,4
406,29659,223,211653,211630,16222,181994,2,4
407,29728,264,254652,254638,16253,224924,2,5
408,29804,223,212376,212353,16327,182572,2,4
409,29884,251,255650,255649,16397,225766,2,5
410,29974,247,213209,213162,16358,183235,2,4
411,30050,268,256118,256100,16432,226068,2,5
412,30143,231,213954,213923,16489,183811,2,4
413,30227,248,214302,214254,16505,184075,2,4
414,30315,259,257116,257107,16567,226801,2,5
415,30381,31,47063,47032,16651,16682,2,0
416,30452,239,215286,215247,16661,184834,2,4
417,30496,254,257894,257890,16717,227398,2,5
418,30595,243,216038,215995,16768,185443,2,4
419,30665,267,258508,258491,16798,227843,2,5
420,30740,236,216909,216873,16873,186169,2,4
421,30812,245,217104,217059,16851,186292,2,4
422,30885,245,217455,217410,16928,186570,2,4
423,30984,261,259569,259558,16979,228585,2,5
424,31043,45,48108,48063,17020,17065,2,0
425,31114,265,259784,259769,17044,228670,2,5
426,31189,251,259885,259884,17044,228696,2,5
427,31255,259,260024,260015,17128,228769,2,5
428,31326,242,218499,218457,17157,187173,2,4
429,31400,0,48633,48633,17233,17233,2,0
430,31484,253,260407,260404,17149,228923,2,5
431,31539,255,260512,260507,17194,228973,2,5
432,31665,240,219149,219109,17218,187484,2,4
433,31739,260,260848,260838,17294,229109,2,5
434,31828,276,261074,261048,17305,229246,2,5
435,31900,238,219787,219749,17333,187887,2,4
436,31975,246,219933,219887,17325,187958,2,4
437,32018,0,49400,49400,17382,17382,2,0
438,32047,54,75739,75735,17403,43692,2,1
439,32111,217,220250,220233,17439,188139,2,4
440,32182,266,261731,261715,17451,229549,2,5
441,32267,281,262012,261981,17516,229745,2,5
442,32331,227,220877,220850,17552,188546,2,4
443,32407,254,262223,262219,17576,229816,2,5
444,32499,263,262363,262350,17584,229864,2,5
445,32549,40,50223,50183,17634,17674,2,0
446,32574,247,221624,221577,17699,189050,2,4
447,32652,241,221665,221624,17671,189013,2,4
448,32715,264,262922,262908,17708,230207,2,5
449,32798,253,263057,263054,17725,230259,2,5
450,32890,260,263226,263216,17783,230336,2,5
451,32965,47,50820,50773,17808,17855,2,0
452,33044,41,50961,50920,17876,17917,2,0
453,33101,230,222795,222765,17910,189694,2,4
454,33167,269,263775,263756,17944,230608,2,5
455,33251,259,264077,264068,18010,230826,2,5
456,33284,248,223450,223402,18077,190166,2,4
457,33335,232,223582,223550,18076,190247,2,4
458,33378,235,223767,223732,18133,190389,2,4
459,33439,243,223960,223917,18172,190521,2,4
460,33539,275,264644,264619,18222,231105,2,5
461,33620,60,79489,79479,18291,45869,2,1
462,33706,47,52060,52013,18307,18354,2,0
463,33777,49,52159,52110,18333,18382,2,0
464,33847,242,224885,224843,18412,191038,2,4
465,33935,261,265490,265479,18424,231555,2,5
466,34001,250,225385,225335,18508,191384,2,4
467,34040,227,225412,225385,18519,191372,2,4
468,34102,217,225579,225562,18607,191477,2,4
469,34170,220,225649,225629,18639,191479,2,4
470,34263,235,225784,225749,18650,191521,2,4
471,34291,226,225810,225784,18672,191519,2,4
472,34357,281,266193,266162,18756,231836,2,5
473,34414,245,226155,226110,18799,191741,2,4
474,34475,253,266296,266293,18788,231821,2,5
475,34561,232,226487,226455,18852,191926,2,4
476,34620,229,226616,226587,18893,191996,2,4
477,34738,0,53663,53663,18925,18925,2,0
478,34837,235,226972,226937,18926,192135,2,4
479,34921,237,227259,227222,18992,192338,2,4
480,35017,262,267440,267428,19046,232423,2,5
481,35082,263,267588,267575,19081,232506,2,5
482,35148,264,267741,267727,19118,232593,2,5
483,35222,237,228201,228164,19144,192979,2,4
484,35299,267,267958,267941,19164,232659,2,5
485,35366,272,268135,268113,19197,232769,2,5
486,35424,253,268270,268267,19239,232846,2,5
487,35552,235,228986,228951,19227,193434,2,4
488,35640,271,268478,268457,19239,232838,2,5
489,35705,267,268495,268478,19324,232790,2,5
490,35797,252,268747,268745,19382,232950,2,5
491,35864,50,55329,55279,19415,19465,2,0
492,35960,254,269032,269028,19469,233072,2,5
493,36015,257,269132,269125,19514,233117,2,5
494,36078,253,269285,269282,19551,233207,2,5
495,36170,248,230421,230373,19609,194251,2,4
496,36220,31,55910,55879,19659,19690,2,0
497,36285,256,269890,269884,19675,233605,2,5
498,36379,261,270116,270105,19731,233737,2,5
499,36403,207,231305,231298,19757,194902,2,4
500,36459,261,270366,270355,19801,233907,2,5
501,36543,294,270597,270553,19867,234054,2,5
502,36602,275,270772,270747,19858,234170,2,5
503,36681,53,86620,86617,19929,49939,2,1
504,36762,245,232315,232270,19948,195553,2,4
505,36849,236,232551,232515,20011,195702,2,4
506,36942,244,232745,232701,20061,195803,2,4
507,37036,43,57196,57153,20117,20160,2,0
508,37061,261,271466,271455,20135,234405,2,5
509,37155,267,271633,271616,20191,234478,2,5
510,37260,234,233346,233312,20186,196086,2,4
511,37375,269,272102,272083,20271,234727,2,5
512,37444,237,233933,233896,20302,196489,2,4
513,37522,257,272538,272531,20374,235016,2,5
514,37614,269,272657,272638,20382,235043,2,5
515,37680,240,234498,234458,20416,196818,2,4
516,37736,269,272826,272807,20410,235090,2,5
517,37790,248,234796,234748,20456,197006,2,4
518,37890,61,89403,89392,20506,51513,2,1
